"Found","Response Code","Content Length"
"/phpmyadmin/vendor/composer/","403","450"
"/phpmyadmin/locale/sq/","403","450"
"/phpmyadmin/examples/openid.php","200","147"
"/phpmyadmin/locale/en_GB/","403","450"
"/phpmyadmin/vendor/bacon/","403","450"
"/phpmyadmin/locale/kk/","403","450"
"/phpmyadmin/locale/pt_BR/","403","450"
"/phpmyadmin/lint.php","200","1504"
"/phpmyadmin/locale/hy/","403","450"
"/academy/admin/level.php","302","281"
"/phpmyadmin/locale/zh_CN/","403","450"
"/phpmyadmin/server_status.php","200","1504"
"/phpmyadmin/vendor/twig/","403","450"
"/phpmyadmin/vendor/twig/extensions/","403","450"
"/phpmyadmin/vendor/twig/extensions/lib/","403","450"
"/phpmyadmin/vendor/twig/extensions/src/","403","450"
"/phpmyadmin/doc/html/_static/","403","450"
"/phpmyadmin/js/vendor/jquery/","403","450"
"/phpmyadmin/phpinfo.php","200","1504"
"/phpmyadmin/themes/original/jquery/","403","450"
"/phpmyadmin/themes/original/jquery/images/","403","450"
"/phpmyadmin/vendor/twig/twig/","403","450"
"/phpmyadmin/vendor/twig/twig/lib/","403","450"
"/phpmyadmin/vendor/twig/twig/src/","403","450"
"/phpmyadmin/vendor/twig/twig/ext/","403","450"
"/phpmyadmin/vendor/twig/twig/src/Environment.php","200","147"
"/phpmyadmin/vendor/twig/twig/src/Template.php","500","185"
"/phpmyadmin/vendor/twig/twig/src/Test/","403","450"
"/phpmyadmin/vendor/twig/twig/src/Sandbox/","403","450"
"/phpmyadmin/vendor/twig/twig/src/Source.php","200","147"
"/phpmyadmin/vendor/twig/twig/src/Parser.php","500","185"
"/phpmyadmin/vendor/twig/twig/src/Util/","403","450"
"/phpmyadmin/vendor/twig/twig/src/Cache/","403","450"
"/phpmyadmin/vendor/twig/twig/src/Error/","403","450"
"/phpmyadmin/vendor/twig/twig/src/Profiler/","403","450"
"/phpmyadmin/vendor/twig/twig/src/Error/Error.php","200","166"
"/phpmyadmin/vendor/twig/twig/src/Profiler/Profile.php","200","147"
"/phpmyadmin/vendor/twig/twig/ext/twig/","403","450"
"/phpmyadmin/vendor/twig/twig/src/Sandbox/SecurityPolicy.php","500","185"
"/phpmyadmin/vendor/twig/twig/src/Compiler.php","500","185"
"/phpmyadmin/vendor/twig/twig/src/Profiler/Dumper/","403","450"
